tiktok_id,included,n_ppl,gender,gender_2,lang,country,support_vaccine,hcp,verified_hcp,genre,satire_who,correct,satire_comment,why_incorrect,myth_referenced,caption_helpful,infectious_disease_review,general_comments,satire_y_n,commentary_y_n,story_y_n,skit_y_n,silent_y_n,author,url,likes,shares,comments,author_followers,plays,description
80,Yes,Single,Female,NA,English,Unclear,Yes,No,Non applicable,Satire,Antivaxers,Yes,parody that shows that even after your vaccine your sexual orientation wont change,NA,COVID Vaccine will cause anyone serious short term side effects,NA,No,NA,Y,N,N,N,N,mnolivera,https://www.tiktok.com/@mnolivera/video/6925280347651443974,192400,4384,2347,8034,2100000,My 88 year old Cuban friend got her COVID-19 vaccine! #vaccine #vaccinecoronavirus #covidvaccine #cuban #cubana #lapuenteca
81,Yes,Single,Male,NA,English,Unclear,Yes,No,Non applicable,"Commentary, Story Telling",Antivaxers,Yes,shows that vaccines wont make you magnetic,NA,"COVID-19 vaccine inserts you with a microchip, covid vaccine will make you magnetic",NA,No,"https://www.linkedin.com/in/adam-goodcoff-do-a3292a1b1/, DO; seems like he supports vaccine use",N,N,N,N,N,rachel.esq,https://www.tiktok.com/@rachel.esq/video/6946547293382348037,189000,8986,2260,6513,869700,i’m proof this #vaccine doesn’t work 🥺 #covidvaccine #vaccinesideeffects #vaccinated #covid #covid19 #fyp #warning
82,No,Double,Male,female,English,Unclear,No,No,Non applicable,Silent video with visuals,"cant tell if its satirizing people who want people to respect social distancing, or satirizing overreactions to social distancing",N/A,NA,NA,No myth,NA,No,cant tell if this is pro vaccine or not,N,N,N,N,N,dr.noc,https://www.tiktok.com/@dr.noc/video/6963501576241614086,188500,9022,2648,610200,1200000,I licked my finger in the name of public health 😩  #covid19 #covidvaccine#coronavirus
83,Yes,Single,Female,NA,English,Unclear,Yes,No,Non applicable,"Skit, Silent video with visuals,",NA,Yes,person is jokingly showing what she wants to do after she gets her vaccine (ie. club and travel),NA,No myth,NA,No,joke is the side effects are being a Boss,N,N,N,N,N,mattchris337,https://www.tiktok.com/@mattchris337/video/6958258839653289221,187600,34400,9135,2810,3900000,#covidiots #covid19 #covidvaccine #fyp
84,Yes,Single,Male,NA,English,USA,Yes,Yes,Verified on TikTok,"Story Telling, Silent video with visuals",NA,Yes,shows what a needle will look like that will be used to administer the vaccine; the reason people think it's big is because people think they're going to microchip us but he's showing in reality it will be a small needle like i'm assuming most vaccine needles are,NA,COVID-19 vaccine inserts you with a microchip,NA,No,one of the few verified tik tok docs on this site,N,N,N,N,N,pop.pea,https://www.tiktok.com/@pop.pea/video/6893143750550375682,187400,15400,3545,53000,1000000,Probably wishful thinking but a girl can dream #covid #vaccine #lockdown #covidvaccine #pfizer
85,Yes,Single,Female,NA,English,Unclear,Yes,No,Non applicable,Story Telling,NA,N/A,just a recording of someone waiting in line to get their vaccine for 3 hours and having to pee in a tupperware to not lose their spot in line,NA,No myth,NA,No,just goes to krispy kreme to show you get a free donut with your vaccine card,N,N,N,N,N,seethemedlife,https://www.tiktok.com/@seethemedlife/video/6905919700203572485,185700,1221,6367,1700000,1900000,What will the COVID shot look like? Watch this! #covidvaccine #covid19 #doctor
86,Yes,Single,Male,NA,English,Unclear,Yes,No,Non applicable,"Commentary, Story Telling, Satire, Joke",NA,Yes,person is just commenting on how its incomprehensible that you can believe in harry potter spells but not the covid vaccine,NA,No myth,NA,No,About her wearing an outfit to get the vaccine; only support for vaccine is that she went and got it,Y,N,N,N,N,beetabeauty,https://www.tiktok.com/@beetabeauty/video/6949451787766091013,184100,1840,696,1437,1100000,Desperate times call for desperate measures 😂😂 #covidvaccine #fyp #longbeach
87,Yes,Visuals,Male,NA,English,USA,No,No,Non applicable,"Skit, Silent video with visuals, Satire",NA,N/A,this just seems like a parody and skit with no real agenda,NA,"COVID Vaccine will cause anyone serious short term side effects, No myth",NA,No,"not sure what to do witht his tik tok
",Y,N,N,N,N,imjustinrandall,https://www.tiktok.com/@imjustinrandall/video/6952999212300651781,183400,15000,1374,89600,1600000,#fyp #foryou #foryoupage #harrypotter #vaccine #covidvaccine #gay #lgbt #lgbtq #gaytiktok
88,Yes,Single,Male,NA,English,USA,Yes,Yes,Verified on TikTok,"Commentary, Story Telling",NA,Yes,creator is talking about basic reasons for taking or not taking the vaccine,NA,No myth,NA,No,NA,N,N,N,N,N,bahablast,https://www.tiktok.com/@bahablast/video/6951973760308088070,183200,2338,1359,682600,1300000,covid vaccine gone wrong #vr #boneworks #virtaulreality #gaming #oculus #oculusquest2 #vrgaming #comedygaming #vaccine #covidvaccine
89,Yes,Single,Male,NA,English,USA,no,No,Non applicable,Story Telling,NA,Yes,cdc did lift mask restrictions on fully vaccinated individuals,NA,No myth,NA,No,Reposted; by user; user seems to be Japanese?,N,N,N,N,N,tonyyounmd,https://www.tiktok.com/@tonyyounmd/video/6912861838229163270,181500,2803,4114,4700000,1200000,We all have three options of how we will live in 2021. Which path will YOU choose? #covid #covid19 #2021 #vaccine #covidvaccine #doctor
90,Yes,Single,Female,NA,English,Unclear,Yes,No,Non applicable,"Commentary, Story Telling",NA,Yes,just recording her vaccination experience,NA,COVID Vaccine will cause anyone serious short term side effects,NA,No,NA,N,N,N,N,N,worldoftshirts,https://www.tiktok.com/@worldoftshirts/video/6964082112702008581,181100,1755,3721,2200000,1300000,#fyp #covidvaccine #cdcguidelines
91,No,Single,Female,NA,italian,Unclear,No,No,Non applicable,Skit,NA,Unclear,NA,NA,No myth,NA,No,NA,N,N,N,N,N,katieklubak,https://www.tiktok.com/@katieklubak/video/6956657410748517637,180500,1554,1416,4103,515000,#greenscreen PLZ GO GET VACCINATED!!! #moderna #vaccinated #covidvaccine
92,Yes,Single,Female,NA,English,USA,Yes,No,Non applicable,"Commentary, Story Telling",NA,Yes,krispy kreme does run vaccination promotion specials,NA,No myth,NA,No,NA,N,N,N,N,N,chiaramarita,https://www.tiktok.com/@chiaramarita/video/6963274173011512582,179400,4340,1623,144500,889900,amïo tu che vaccino faïæ? #perte #fyp #foryou #machebravia #covidvaccine Instagram: chiaramarita
93,Yes,Double,Male,male,English,USA,Yes,No,Non applicable,"Commentary, Story Telling, Q&A, Satire",Antivaxers,Yes,vaccines will need about 1-2 after administration to confer immunity; 1-2 weeks has been the guideline in general direction; https://www.nejm.org/doi/full/10.1056/NEJMc2036242,NA,vaccine science is bad,NA,No,NA,Y,N,N,N,N,halfmoonsahar,https://www.tiktok.com/@halfmoonsahar/video/6942970667209985285,178000,12600,1092,5081,892500,🍩 specials for #krispykreme #customerservice #beniceplease #covidvaccine
94,Yes,Single,Female,NA,English,USA,Yes,No,Non applicable,"Satire, Skit",Antivaxers,Yes,bleach will kill you if you inject it,NA,No myth,NA,No,NA,Y,N,N,N,N,dr.noc,https://www.tiktok.com/@dr.noc/video/6961037999098318086,173100,2470,4976,610200,1300000,Reply to @kylehanthetiktokman #covid19 #coronavirus #covidvaccine
